#wave = wavelength (um)
#flux = flux (W/cm^2/um)
#stdev = standard deviation of flux measurement (W/cm^2/um)
#det = LWS detector number (0-9)
#
#wave    flux         stdev           det
 43.0128  1.17703e-17  3.01081e-19      0
 43.0128  9.90621e-18  2.06887e-19      0
 43.0833  9.91162e-18  1.38202e-19      0
 43.0834  1.21094e-17  3.01212e-19      0
 43.1538  9.96999e-18  1.77167e-19      0
 43.1539  1.18755e-17  2.48981e-19      0
 43.2243  1.04279e-17  2.58277e-19      0
 43.2243  1.19420e-17  1.93077e-19      0
 43.2946  1.02128e-17  2.23317e-19      0
 43.2946  1.19649e-17  2.05097e-19      0
 43.3649  1.01792e-17  1.92595e-19      0
 43.3649  1.21637e-17  1.90054e-19      0
 43.4351  1.04652e-17  2.24596e-19      0
 43.4351  1.20771e-17  2.33524e-19      0
 43.4982  1.04553e-17  1.79440e-19      0
 43.4982  1.17301e-17  1.88680e-19      0
 43.5683  1.01465e-17  1.67868e-19      0
 43.5683  1.19452e-17  2.19245e-19      0
 43.6383  1.03547e-17  2.12890e-19      0
 43.6383  1.17730e-17  2.11924e-19      0
 43.7083  1.16286e-17  1.43378e-19      0
 43.7083  1.03029e-17  2.26237e-19      0
 43.7782  1.16393e-17  1.60279e-19      0
 43.7782  1.01963e-17  1.73470e-19      0
 43.8480  1.17352e-17  1.43106e-19      0
 43.8480  1.04422e-17  2.03194e-19      0
 43.9178  1.04276e-17  1.57722e-19      0
 43.9178  1.16912e-17  1.38736e-19      0
 43.9875  1.06064e-17  2.23697e-19      0
 43.9875  1.20465e-17  1.80027e-19      0
 44.0572  1.08290e-17  2.15016e-19      0
 44.0572  1.18915e-17  1.14660e-19      0
 44.1268  1.07002e-17  1.71264e-19      0
 44.1268  1.21241e-17  1.69158e-19      0
 44.1963  1.18981e-17  1.14264e-19      0
 44.1963  1.09359e-17  2.08235e-19      0
 44.2658  1.07345e-17  1.86360e-19      0
 44.2658  1.22094e-17  2.02860e-19      0
 44.3283  1.06854e-17  1.98841e-19      0
 44.3352  1.21363e-17  1.85127e-19      0
 44.4046  1.19888e-17  1.65152e-19      0
 44.4046  1.08547e-17  1.96357e-19      0
 44.4739  1.19791e-17  1.65573e-19      0
 44.4739  1.07903e-17  1.73624e-19      0
 44.5432  1.07680e-17  1.54532e-19      0
 44.5432  1.19726e-17  1.37325e-19      0
 44.6055  1.07917e-17  1.58636e-19      0
 44.6055  1.21512e-17  1.29720e-19      0
 44.6746  1.18654e-17  9.98712e-20      0
 44.6746  1.09439e-17  1.75650e-19      0
 44.7437  1.19191e-17  1.20268e-19      0
 44.7437  1.10145e-17  2.00319e-19      0
 44.8128  1.12224e-17  1.98514e-19      0
 44.8128  1.20173e-17  1.29555e-19      0
 44.8818  1.08003e-17  1.80346e-19      0
 44.8818  1.20947e-17  1.55223e-19      0
 44.9508  1.09018e-17  1.69288e-19      0
 44.9508  1.21113e-17  1.48150e-19      0
 45.0197  1.08761e-17  1.85762e-19      0
 45.0197  1.21521e-17  1.50229e-19      0
 45.0885  1.09082e-17  1.74688e-19      0
 45.0886  1.21956e-17  1.47254e-19      0
 45.1574  1.08496e-17  1.63361e-19      0
 45.1574  1.22832e-17  1.53330e-19      0
 45.2261  1.19947e-17  1.37462e-19      0
 45.2262  1.09938e-17  1.71899e-19      0
 45.2949  1.11222e-17  1.76718e-19      0
 45.2949  1.18907e-17  1.37164e-19      0
 45.3635  1.10441e-17  2.01185e-19      0
 45.3636  1.17826e-17  1.29919e-19      0
 45.4322  1.18660e-17  1.33338e-19      0
 45.4322  1.09281e-17  1.58069e-19      0
 45.5008  1.17547e-17  1.34136e-19      0
 45.5008  1.12063e-17  1.72052e-19      0
 45.5693  1.11315e-17  1.77847e-19      0
