#wave = wavelength (um)
#flux = flux (W/cm^2/um)
#stdev = standard deviation of flux measurement (W/cm^2/um)
#det = LWS detector number (0-9)
#line = LWS line number (0-9)
#
#wave    flux         stdev           det   line
 43.7423  2.00687e-18  1.24187e-19      0      3
 43.8116  2.27718e-18  1.17919e-19      0      3
 43.8808  2.32282e-18  1.04792e-19      0      3
 43.9500  2.40270e-18  1.19795e-19      0      3
 44.0191  2.32755e-18  1.11814e-19      0      3
 44.0882  2.51069e-18  1.60925e-19      0      3
 44.1572  2.34979e-18  1.29311e-19      0      3
 44.2261  2.44140e-18  1.12953e-19      0      3
 44.2950  2.39530e-18  1.18682e-19      0      3
 44.3638  2.33937e-18  1.11411e-19      0      3
 44.4326  2.20731e-18  1.01517e-19      0      3
 44.5013  2.19106e-18  8.63423e-20      0      3
 44.5700  2.21810e-18  8.46542e-20      0      3
 44.6386  2.25263e-18  8.34039e-20      0      3
 44.7072  2.39013e-18  1.09625e-19      0      3
 44.7757  2.30194e-18  1.14465e-19      0      3
 44.8373  2.39859e-18  1.13969e-19      0      3
 44.9057  2.25813e-18  8.72453e-20      0      3
 44.9741  2.22523e-18  9.20655e-20      0      3
 45.0424  2.07816e-18  1.23301e-19      0      3
 53.7062  1.51511e-18  2.64146e-19      1      3
 53.7761  1.51047e-18  1.70233e-19      1      3
 53.8459  1.50356e-18  1.44494e-19      1      3
 53.9157  1.52616e-18  1.15020e-19      1      3
 53.9854  1.42405e-18  1.21555e-19      1      3
 54.0550  1.33691e-18  1.24608e-19      1      3
 54.1246  1.23518e-18  1.28459e-19      1      3
 54.1941  1.66078e-18  1.31597e-19      1      3
 54.2635  1.23728e-18  1.50833e-19      1      3
 54.3329  1.22286e-18  1.12178e-19      1      3
 54.4022  1.23377e-18  1.35839e-19      1      3
 54.4715  1.64615e-18  1.25504e-19      1      3
 54.5407  1.26207e-18  8.88919e-20      1      3
 54.6099  1.51607e-18  9.39889e-20      1      3
 54.6790  1.43213e-18  1.26997e-19      1      3
 54.7480  1.13511e-18  1.28250e-19      1      3
 54.8101  1.34632e-18  1.15663e-19      1      3
 54.8790  1.33779e-18  1.45564e-19      1      3
 54.9479  1.45716e-18  1.33027e-19      1      3
 55.0167  1.31252e-18  2.09385e-19      1      3
 63.6439  1.65335e-18  3.00211e-20      2      3
 63.7132  1.65639e-18  3.39799e-20      2      3
 63.7825  1.68524e-18  4.09445e-20      2      3
 63.8517  1.66916e-18  3.85953e-20      2      3
 63.9209  1.69908e-18  3.87047e-20      2      3
 63.9900  1.66913e-18  3.17297e-20      2      3
 64.0590  1.65907e-18  3.28630e-20      2      3
 64.1279  1.71082e-18  3.57359e-20      2      3
 64.1968  1.85143e-18  3.11332e-20      2      3
 64.2656  1.96348e-18  3.27600e-20      2      3
 64.3343  2.00339e-18  3.36579e-20      2      3
 64.4030  1.97652e-18  3.46315e-20      2      3
 64.4716  1.86828e-18  3.10713e-20      2      3
 64.5402  1.74477e-18  4.35167e-20      2      3
 64.6086  1.71571e-18  3.85942e-20      2      3
 64.6771  1.71516e-18  3.45680e-20      2      3
 64.7386  1.64190e-18  4.93193e-20      2      3
 64.8069  1.67234e-18  4.00116e-20      2      3
 64.8752  1.66138e-18  4.37832e-20      2      3
 64.9434  1.65476e-18  4.86476e-20      2      3
 73.2892  1.49409e-18  1.29927e-19      3      3
 73.3569  1.50776e-18  8.97022e-20      3      3
 73.4245  1.45569e-18  7.38128e-20      3      3
 73.4921  1.43001e-18  8.12753e-20      3      3
 73.5596  1.32166e-18  8.03271e-20      3      3
 73.6270  1.47203e-18  6.38813e-20      3      3
